epoch,train_mse,train_mae,val_mse,val_mae
1,0.807085,0.356831,0.744416,0.313531
2,0.710702,0.325759,0.696924,0.303614
3,0.646901,0.313765,0.640485,0.297240
4,0.608861,0.302759,0.619553,0.275675
5,0.591934,0.296896,0.604115,0.287287
6,0.578427,0.292687,0.589735,0.269314
7,0.565318,0.289295,0.578529,0.268603
8,0.550467,0.285933,0.561626,0.271178
9,0.534601,0.282799,0.545568,0.266700
10,0.514086,0.280203,0.510445,0.260284
11,0.490316,0.274887,0.491778,0.261744
12,0.475295,0.270203,0.481409,0.250843
13,0.464788,0.267026,0.468938,0.249531
14,0.457746,0.264668,0.463895,0.245435
15,0.451056,0.262328,0.454107,0.248580
16,0.446370,0.260429,0.453073,0.249934
17,0.440486,0.258655,0.447640,0.243476
18,0.437368,0.257514,0.436971,0.242187
19,0.431379,0.256029,0.435724,0.239592
20,0.426154,0.254308,0.427375,0.242663
21,0.420277,0.252099,0.446885,0.241797
22,0.415008,0.250753,0.416066,0.236385
23,0.410284,0.249093,0.412600,0.234934
24,0.406783,0.247644,0.409997,0.238709
25,0.403850,0.246877,0.402679,0.233479
26,0.397437,0.244708,0.397254,0.232789
27,0.391985,0.242872,0.397007,0.229062
28,0.389010,0.241562,0.390995,0.227940
29,0.385043,0.240180,0.389789,0.230033
30,0.382575,0.239031,0.386825,0.227996
31,0.378396,0.237818,0.383254,0.222720
32,0.374837,0.236447,0.380561,0.226047
33,0.372243,0.235504,0.380744,0.223849
34,0.371527,0.235396,0.371201,0.221560
35,0.364402,0.233144,0.367737,0.225195
36,0.360965,0.231938,0.363114,0.216324
37,0.358979,0.231172,0.359703,0.217591
38,0.354090,0.229480,0.359719,0.216934
39,0.352088,0.228816,0.355805,0.212570
40,0.349606,0.227697,0.359993,0.214059
