model,channel,MSE,RMSE,MAE
lstm,ch0,0.09304401,0.30503118,0.1317827
lstm,ch1,0.64205307,0.80128217,0.29054648
lstm,ch2,0.2812151,0.53029716,0.21268302
lstm,ch3,0.83510494,0.9138408,0.2960462
lstm,ch4,0.70298314,0.8384409,0.42477638
lstm,ch5,0.96337944,0.9815189,0.15943593
lstm,ch6,0.86906785,0.9322381,0.26967654
lstm,ch7,1.0347453,1.0172243,0.15097478
stgcn,ch0,0.22013327,0.46918362,0.25946414
stgcn,ch1,0.69665605,0.8346592,0.32661316
stgcn,ch2,0.3834268,0.61921465,0.2765257
stgcn,ch3,0.8609618,0.9278803,0.2892527
stgcn,ch4,0.76577365,0.87508494,0.49650925
stgcn,ch5,0.9738761,0.98685163,0.17711343
stgcn,ch6,0.88825595,0.9424733,0.28678808
stgcn,ch7,1.0386505,1.019142,0.1482874
resstgcn,ch0,0.120865196,0.34765673,0.17025581
resstgcn,ch1,0.6020512,0.77591956,0.2952012
resstgcn,ch2,0.26634106,0.5160824,0.2252137
resstgcn,ch3,0.8014789,0.89525354,0.28822926
resstgcn,ch4,0.6637566,0.8147126,0.447668
resstgcn,ch5,0.8581548,0.92636645,0.16246559
resstgcn,ch6,0.8139178,0.90217394,0.27120602
resstgcn,ch7,0.95043707,0.97490364,0.14930667
